snapshot_date,product_id,product_name,sku,category,stock_on_hand,stock_reserved,stock_available,reorder_level,unit_cost,unit_price,inventory_value,warehouse_location,store_id
29-09-2020,2001,Wireless Bluetooth Headphones,SKU-2001-7938,Electronics,175,21,,45,$66.91,149.99,,WH-C2,3009
"September 29, 2020",2002,Smart LED TV 55-inch,SKU-2002-4412,Electronics,191,15,,29,298.38,699.99,,WH-B2,
29/09/2020,2003,Laptop 15.6 inch Core i7,SKU-2003-8028,Electronics,351,11,,25,645.70,1249.99,,WH-C1,3035
29/09/2020,2004,USB-C Fast Charger 65W,SKU-2004-5125,Electronics,11,12,,39,12.29,34.99,,wh-b1,3045
29/09/2020,2005,Mechanical Gaming Keyboard,SKU-2005-4228,Electronics,151,22,,34,53.87,89.99,,WH-C1,3033
29/09/2020,2006,4K Webcam 1080p,SKU-2006-7909,electronics,43,50,,49,$33.39,79.99,,wh-b1,3029
"Sep 29, 2020",2007,Portable Bluetooth Speaker,SKU-2007-6416,Electronics,335,22,,6,24.14,59.99,,WH-B1,3017
29/09/2020,2008,Smartwatch Fitness Tracker,SKU-2008-6735,electronics,393,46,,43,91.70,$199.99,,WH-A2,3042
2020-09-29,2009,Noise Cancelling Earbuds,SKU-2009-2763,electronics,431,25,,10,72.43,$129.99,,WH-A1,3050
2020/09/29,2010,External SSD 1TB,SKU-2010-1970,Electronics,364,33,,20,47.21,119.99,,WH-B1,3033
09/29/2020,2011,Running Shoes Men Size 10,SKU-2011-2637,Footwear,297,30,,40,$38.92,89.99,,WH-C2,
"September 29, 2020",2012,Women's Yoga Pants,SKU-2012-5183,Clothing,196,19,,44,18.21,49.99,,WH-C2,
29/09/2020,2013,Men's Casual Polo Shirt,SKU-2013-3568,Clothing,269,3,,14,13.94,34.99,,WH-C1,3025
"Sep 29, 2020",2014,Women's Winter Jacket,SKU-2014-3549,Clothing,500,7,,25,47.58,129.99,,WH-C2,
"Sep 29, 2020",2015,Kids Soccer Cleats,SKU-2015-4219,Footwear,461,39,,46,$17.29,44.99,,WH-C2,3019
"Sep 29, 2020",2016,Denim Jeans Slim Fit,SKU-2016-5459,Clothing,24,27,,45,34.85,64.99,,WH-C1,3046
"Sep 29, 2020",2017,Sports Backpack 30L,SKU-2017-5600,bags,7,8,,47,20.28,54.99,,WH-A1,3039
"September 29, 2020",2018,Baseball Cap Adjustable,SKU-2018-2408,Clothing,364,45,,37,$9.23,$24.99,,WH-B1,3033
"Sep 29, 2020",2019,Gym Gloves Workout,SKU-2019-9734,Clothing,377,13,,12,7.40,$19.99,,WH-A2,3001
2020-09-29,2020,Athletic Crew Socks 6-Pack,SKU-2020-8195,Clothing,417,24,,31,7.52,14.99,,WH-C2,3038
"Sep 29, 2020",2021,Stainless Steel Cookware Set 10pc,SKU-2021-9597,Kitchen,442,19,,50,135.30,249.99,,WH-C1,
"September 29, 2020",2022,Coffee Maker 12-Cup,SKU-2022-5885,Kitchen,495,38,,39,37.88,79.99,,WH-C2,3049
29-09-2020,2023,Air Fryer 5.8 Quart,SKU-2023-1048,  Kitchen ,360,7,,30,42.83,99.99,,WH-A2,
"Sep 29, 2020",2024,Non-Stick Pan Set 3-Piece,SKU-2024-5329,  Kitchen ,239,11,,15,38.14,69.99,,WH-B2,3011
29-09-2020,2025,Blender High Performance,SKU-2025-9530,Kitchen,152,49,,44,49.21,129.99,,WH-B2,3018
29-09-2020,2026,Cutting Board Set Bamboo,SKU-2026-1154,kitchen,280,3,,31,$14.59,29.99,,WH-A1,3016
"September 29, 2020",2027,Instant Pot 8 Quart,SKU-2027-4461,Kitchen,133,32,,30,51.28,$129.99,,wh-a1,3008
2020-09-29,2028,Wine Glass Set 12-Piece,SKU-2028-2259,Kitchen,72,9,,24,17.48,39.99,,wh-a1,3015
09/29/2020,2029,Knife Set 15-Piece,SKU-2029-3026,Kitchen,183,45,,25,$81.61,$149.99,,WH-C2,3001
2020-09-29,2030,Stand Mixer 5 Quart,SKU-2030-4078,Kitchen,162,37,,27,171.29,349.99,,WH-C1,3026
"September 29, 2020",2031,Yoga Mat Non-Slip,SKU-2031-6532,SPORTS,173,43,,42,17.14,39.99,,wh-b1,3044
29-09-2020,2032,Resistance Bands Set 5-Pack,SKU-2032-9326,Sports,337,20,,32,12.53,24.99,,WH-B2,3021
29-09-2020,2033,Adjustable Dumbbells 50lb,SKU-2033-9605,Sports,73,18,,20,178.09,299.99,,WH-A2,3033
09/29/2020,2034,Camping Tent 4-Person,SKU-2034-5579,Sports,428,32,,49,97.31,189.99,,wh-a1,3017
"September 29, 2020",2035,Hiking Boots Waterproof,SKU-2035-6241,Footwear,166,18,,44,49.28,$139.99,,WH-B1,
2020-09-29,2036,Foam Roller 18-inch,SKU-2036-8868,Sports,86,21,,15,$10.70,29.99,,wh-b1,3029
2020/09/29,2037,Jump Rope Speed,SKU-2037-3077,SPORTS,234,16,,37,8.33,14.99,,WH-A2,3044
29-09-2020,2038,Water Bottle 32oz Insulated,SKU-2038-9318,Sports,493,45,,29,14.26,34.99,,WH-A1,3044
29-09-2020,2039,Trekking Poles Adjustable,SKU-2039-1135,Sports,254,28,,18,$33.92,59.99,,wh-b1,3043
29/09/2020,2040,Sleeping Bag -20F,SKU-2040-5501,Sports,184,1,,32,$34.30,89.99,,wh-b1,
2020-09-29,2041,Vitamin C 1000mg 90 Tablets,SKU-2041-1431,health,185,38,,35,$7.53,$19.99,,WH-B1,3030
2020/09/29,2042,Protein Powder Whey 5lb,SKU-2042-7028,Health,276,10,,22,25.05,$54.99,,WH-A1,3024
2020/09/29,2043,Moisturizing Face Cream SPF30,SKU-2043-8727,Beauty,271,12,,24,16.43,29.99,,WH-A1,3024
"Sep 29, 2020",2044,Electric Toothbrush Rechargeable,SKU-2044-5710,health,33,5,,29,22.84,49.99,,WH-A1,3044
"Sep 29, 2020",2045,Hair Dryer Professional,SKU-2045-9252,Beauty,317,30,,35,37.87,69.99,,WH-B1,3004
"Sep 29, 2020",2046,Multivitamin Daily 120ct,SKU-2046-2719,Health,138,14,,10,10.09,$24.99,,WH-B2,3049
"Sep 29, 2020",2047,Sunscreen SPF 50 Spray,SKU-2047-1674,Health,398,2,,36,7.23,16.99,,wh-b1,3038
2020/09/29,2048,Face Wash Gentle Cleanser,SKU-2048-1450,Beauty,353,13,,23,$6.66,12.99,,WH-A1,
2020-09-29,2049,Shampoo Argan Oil 16oz,SKU-2049-4407,BEAUTY,287,46,,22,6.40,$14.99,,WH-C1,3024
2020-09-29,2050,Digital Bathroom Scale,SKU-2050-7743,Health,438,24,,6,21.22,$39.99,,wh-b1,3006
"September 29, 2020",2051,Hardcover Notebook A5,SKU-2051-9972,Office,373,1,,30,5.72,12.99,,WH-C2,3034
2020/09/29,2052,Ballpoint Pens 12-Pack,SKU-2052-7281,OFFICE,341,37,,30,4.59,8.99,,WH-B1,3028
09/29/2020,2053,Desk Organizer Bamboo,SKU-2053-5558,Office,90,48,,9,10.20,24.99,,WH-A1,3027
29/09/2020,2054,Stapler Heavy Duty,SKU-2054-5278,office,85,7,,11,8.54,$19.99,,WH-C2,3019
29/09/2020,2055,Sticky Notes 12-Pack,SKU-2055-5955,Office,341,43,,17,$4.06,$9.99,,WH-B2,3049
"Sep 29, 2020",2056,Mechanical Pencil Set,SKU-2056-6371,Office,333,48,,9,$6.44,14.99,,WH-A2,3025
29/09/2020,2057,Wireless Mouse Ergonomic,SKU-2057-9974,Office,87,39,,21,18.60,$39.99,,WH-A1,3003
2020-09-29,2058,Desk Lamp LED Adjustable,SKU-2058-2037,Office,443,41,,10,$23.50,44.99,,wh-b1,3027
2020/09/29,2059,Folder Organizer 10-Pack,SKU-2059-2635,OFFICE,415,3,,25,$5.59,$12.99,,WH-C1,3031
"Sep 29, 2020",2060,Whiteboard 24x36,SKU-2060-5372,Office,287,5,,11,21.56,$49.99,,WH-B2,3020
"Sep 29, 2020",2061,Action Figure Collector Series,SKU-2061-9248,Toys,403,23,,45,12.59,24.99,,wh-b1,3049
"September 29, 2020",2062,Board Game Strategy 2-6 Players,SKU-2062-6656,toys,288,25,,45,$19.29,39.99,,WH-A2,3016
2020-09-29,2063,LEGO Building Set 500pcs,SKU-2063-6728,Toys,170,23,,46,27.94,59.99,,wh-a1,
29/09/2020,2064,Remote Control Car Racing,SKU-2064-6588,Toys,170,28,,42,21.10,49.99,,WH-B1,3047
2020-09-29,2065,Puzzle 1000 Pieces Landscape,SKU-2065-4893,Toys,432,42,,13,10.13,$19.99,,WH-C2,3023
2020/09/29,2066,Doll with Accessories,SKU-2066-6394,Toys,268,2,,25,14.11,29.99,,WH-A1,3029
2020-09-29,2067,Card Game Family Fun,SKU-2067-7698,Toys,285,47,,30,8.07,$14.99,,wh-b1,3018
2020-09-29,2068,Stuffed Animal Bear 18-inch,SKU-2068-4040,Toys,465,32,,12,$10.13,19.99,,WH-B1,
29/09/2020,2069,Telescope Beginner 70mm,SKU-2069-4584,Toys,250,47,,26,41.11,$89.99,,WH-B1,3012
2020/09/29,2070,Science Kit Chemistry,SKU-2070-2054,Toys,46,33,,15,18.23,34.99,,wh-b1,3029
12/29/2020,2001,Wireless Bluetooth Headphones,SKU-2001-7938,Electronics,358,2,,45,66.91,149.99,,WH-A2,3047
"December 29, 2020",2002,Smart LED TV 55-inch,SKU-2002-4412,Electronics,476,24,,29,298.38,699.99,,WH-A2,3042
12/29/2020,2003,Laptop 15.6 inch Core i7,SKU-2003-8028,Electronics,211,28,,25,645.70,1249.99,,WH-A1,3011
"December 29, 2020",2004,USB-C Fast Charger 65W,SKU-2004-5125,Electronics,195,49,,39,12.29,$34.99,,WH-A2,3012
"Dec 29, 2020",2005,Mechanical Gaming Keyboard,SKU-2005-4228,Electronics,138,40,,34,53.87,$89.99,,wh-a1,3046
"Dec 29, 2020",2006,4K Webcam 1080p,SKU-2006-7909,electronics,389,17,,49,33.39,$79.99,,wh-a1,3044
12/29/2020,2007,Portable Bluetooth Speaker,SKU-2007-6416,Electronics,294,47,,6,24.14,$59.99,,wh-b1,3040
2020/12/29,2008,Smartwatch Fitness Tracker,SKU-2008-6735,electronics,304,48,,43,91.70,199.99,,WH-B1,3013
29-12-2020,2009,Noise Cancelling Earbuds,SKU-2009-2763,electronics,182,10,,10,$72.43,129.99,,WH-C1,3009
29/12/2020,2010,External SSD 1TB,SKU-2010-1970,Electronics,423,46,,20,$47.21,119.99,,WH-A1,3003
29-12-2020,2011,Running Shoes Men Size 10,SKU-2011-2637,Footwear,202,8,,40,38.92,89.99,,WH-A1,3016
"Dec 29, 2020",2012,Women's Yoga Pants,SKU-2012-5183,Clothing,359,21,,44,18.21,49.99,,WH-A1,3011
2020-12-29,2013,Men's Casual Polo Shirt,SKU-2013-3568,Clothing,361,12,,14,13.94,34.99,,WH-A2,
12/29/2020,2014,Women's Winter Jacket,SKU-2014-3549,Clothing,195,0,,25,$47.58,129.99,,WH-B2,3032
2020/12/29,2015,Kids Soccer Cleats,SKU-2015-4219,Footwear,314,12,,46,$17.29,$44.99,,WH-C1,3012
"December 29, 2020",2016,Denim Jeans Slim Fit,SKU-2016-5459,Clothing,456,38,,45,34.85,64.99,,wh-a1,3031
29/12/2020,2017,Sports Backpack 30L,SKU-2017-5600,bags,116,50,,47,20.28,54.99,,WH-C2,
2020/12/29,2018,Baseball Cap Adjustable,SKU-2018-2408,Clothing,397,0,,37,$9.23,24.99,,WH-B2,3032
"December 29, 2020",2019,Gym Gloves Workout,SKU-2019-9734,Clothing,425,36,,12,7.40,$19.99,,WH-C1,3004
2020/12/29,2020,Athletic Crew Socks 6-Pack,SKU-2020-8195,Clothing,241,47,,31,7.52,14.99,,WH-B2,3014
2020-12-29,2021,Stainless Steel Cookware Set 10pc,SKU-2021-9597,Kitchen,454,11,,50,135.30,249.99,,WH-C1,3028
29-12-2020,2022,Coffee Maker 12-Cup,SKU-2022-5885,Kitchen,494,34,,39,37.88,79.99,,WH-C2,
29/12/2020,2023,Air Fryer 5.8 Quart,SKU-2023-1048,  Kitchen ,398,6,,30,42.83,99.99,,WH-C1,3033
2020-12-29,2024,Non-Stick Pan Set 3-Piece,SKU-2024-5329,  Kitchen ,73,28,,15,38.14,69.99,,WH-B1,3045
29/12/2020,2025,Blender High Performance,SKU-2025-9530,Kitchen,438,6,,44,49.21,$129.99,,WH-C1,3010
29-12-2020,2026,Cutting Board Set Bamboo,SKU-2026-1154,kitchen,375,20,,31,14.59,29.99,,WH-C2,
"December 29, 2020",2027,Instant Pot 8 Quart,SKU-2027-4461,Kitchen,315,1,,30,51.28,129.99,,WH-C2,3003
"December 29, 2020",2028,Wine Glass Set 12-Piece,SKU-2028-2259,Kitchen,315,12,,24,$17.48,$39.99,,WH-A1,3043
"December 29, 2020",2029,Knife Set 15-Piece,SKU-2029-3026,Kitchen,133,16,,25,81.61,$149.99,,WH-A1,3028
29/12/2020,2030,Stand Mixer 5 Quart,SKU-2030-4078,Kitchen,461,42,,27,171.29,349.99,,wh-b1,
29/12/2020,2031,Yoga Mat Non-Slip,SKU-2031-6532,SPORTS,35,1,,42,$17.14,$39.99,,wh-b1,3032
"Dec 29, 2020",2032,Resistance Bands Set 5-Pack,SKU-2032-9326,Sports,244,30,,32,$12.53,24.99,,WH-A2,
12/29/2020,2033,Adjustable Dumbbells 50lb,SKU-2033-9605,Sports,229,32,,20,178.09,299.99,,WH-C1,
"December 29, 2020",2034,Camping Tent 4-Person,SKU-2034-5579,Sports,299,14,,49,97.31,$189.99,,WH-B2,
2020/12/29,2035,Hiking Boots Waterproof,SKU-2035-6241,Footwear,229,10,,44,49.28,139.99,,WH-C1,
2020-12-29,2036,Foam Roller 18-inch,SKU-2036-8868,Sports,73,28,,15,10.70,29.99,,WH-B1,3012
"December 29, 2020",2037,Jump Rope Speed,SKU-2037-3077,SPORTS,28,15,,37,8.33,14.99,,WH-C2,3018
29/12/2020,2038,Water Bottle 32oz Insulated,SKU-2038-9318,Sports,0,46,,29,$14.26,34.99,,WH-A1,3004
2020/12/29,2039,Trekking Poles Adjustable,SKU-2039-1135,Sports,358,50,,18,$33.92,$59.99,,WH-B2,3010
29/12/2020,2040,Sleeping Bag -20F,SKU-2040-5501,Sports,5,42,,32,$34.30,$89.99,,WH-A2,3017
"December 29, 2020",2041,Vitamin C 1000mg 90 Tablets,SKU-2041-1431,health,163,13,,35,7.53,19.99,,WH-A2,3018
29/12/2020,2042,Protein Powder Whey 5lb,SKU-2042-7028,Health,316,44,,22,25.05,$54.99,,WH-A1,3032
"Dec 29, 2020",2043,Moisturizing Face Cream SPF30,SKU-2043-8727,Beauty,181,39,,24,16.43,29.99,,wh-a1,3034
29-12-2020,2044,Electric Toothbrush Rechargeable,SKU-2044-5710,health,491,42,,29,22.84,$49.99,,WH-A2,
2020/12/29,2045,Hair Dryer Professional,SKU-2045-9252,Beauty,261,36,,35,37.87,69.99,,WH-C2,3018
29-12-2020,2046,Multivitamin Daily 120ct,SKU-2046-2719,Health,497,39,,10,10.09,24.99,,WH-B1,3045
29-12-2020,2047,Sunscreen SPF 50 Spray,SKU-2047-1674,Health,392,7,,36,7.23,$16.99,,WH-B1,
29/12/2020,2048,Face Wash Gentle Cleanser,SKU-2048-1450,Beauty,222,19,,23,6.66,$12.99,,WH-A2,3040
12/29/2020,2049,Shampoo Argan Oil 16oz,SKU-2049-4407,BEAUTY,280,4,,22,$6.40,$14.99,,wh-b1,3005
2020-12-29,2050,Digital Bathroom Scale,SKU-2050-7743,Health,487,10,,6,21.22,39.99,,wh-b1,
29-12-2020,2051,Hardcover Notebook A5,SKU-2051-9972,Office,158,22,,30,$5.72,12.99,,wh-b1,3035
29-12-2020,2052,Ballpoint Pens 12-Pack,SKU-2052-7281,OFFICE,19,2,,30,4.59,8.99,,wh-b1,3009
"Dec 29, 2020",2053,Desk Organizer Bamboo,SKU-2053-5558,Office,8,15,,9,10.20,24.99,,WH-C2,
29/12/2020,2054,Stapler Heavy Duty,SKU-2054-5278,office,355,14,,11,$8.54,19.99,,WH-B2,
"December 29, 2020",2055,Sticky Notes 12-Pack,SKU-2055-5955,Office,43,12,,17,4.06,9.99,,WH-B1,
2020/12/29,2056,Mechanical Pencil Set,SKU-2056-6371,Office,337,13,,9,$6.44,14.99,,WH-C2,3011
29-12-2020,2057,Wireless Mouse Ergonomic,SKU-2057-9974,Office,118,22,,21,18.60,$39.99,,wh-a1,3018
"Dec 29, 2020",2058,Desk Lamp LED Adjustable,SKU-2058-2037,Office,314,4,,10,$23.50,44.99,,WH-B2,3048
"December 29, 2020",2059,Folder Organizer 10-Pack,SKU-2059-2635,OFFICE,102,17,,25,5.59,$12.99,,WH-A1,3001
29-12-2020,2060,Whiteboard 24x36,SKU-2060-5372,Office,366,37,,11,21.56,$49.99,,WH-B1,3039
"December 29, 2020",2061,Action Figure Collector Series,SKU-2061-9248,Toys,479,25,,45,12.59,$24.99,,wh-b1,3045
2020/12/29,2062,Board Game Strategy 2-6 Players,SKU-2062-6656,toys,379,7,,45,19.29,39.99,,WH-B1,3033
12/29/2020,2063,LEGO Building Set 500pcs,SKU-2063-6728,Toys,55,36,,46,$27.94,59.99,,WH-B2,3035
2020/12/29,2064,Remote Control Car Racing,SKU-2064-6588,Toys,63,47,,42,$21.10,49.99,,WH-B2,3001
"December 29, 2020",2065,Puzzle 1000 Pieces Landscape,SKU-2065-4893,Toys,116,49,,13,10.13,19.99,,WH-A2,3046
2020-12-29,2066,Doll with Accessories,SKU-2066-6394,Toys,82,7,,25,$14.11,29.99,,wh-b1,3009
29/12/2020,2067,Card Game Family Fun,SKU-2067-7698,Toys,286,32,,30,8.07,14.99,,WH-B1,3034
"December 29, 2020",2068,Stuffed Animal Bear 18-inch,SKU-2068-4040,Toys,464,27,,12,10.13,19.99,,WH-C2,3027
"Dec 29, 2020",2069,Telescope Beginner 70mm,SKU-2069-4584,Toys,459,13,,26,41.11,89.99,,wh-b1,
"December 29, 2020",2070,Science Kit Chemistry,SKU-2070-2054,Toys,213,2,,15,18.23,$34.99,,WH-C2,3014
"October 29, 2021",2001,Wireless Bluetooth Headphones,SKU-2001-7938,Electronics,121,47,,45,$66.91,$149.99,,WH-B1,
10/29/2021,2002,Smart LED TV 55-inch,SKU-2002-4412,Electronics,444,43,,29,298.38,699.99,,wh-a1,3014
"October 29, 2021",2003,Laptop 15.6 inch Core i7,SKU-2003-8028,Electronics,439,49,,25,645.70,"$1,249.99",,WH-B2,3020
29/10/2021,2004,USB-C Fast Charger 65W,SKU-2004-5125,Electronics,136,4,,39,12.29,34.99,,WH-C2,3005
"October 29, 2021",2005,Mechanical Gaming Keyboard,SKU-2005-4228,Electronics,54,21,,34,53.87,89.99,,WH-B1,
2021/10/29,2006,4K Webcam 1080p,SKU-2006-7909,electronics,165,49,,49,33.39,$79.99,,WH-A2,3026
29-10-2021,2007,Portable Bluetooth Speaker,SKU-2007-6416,Electronics,428,24,,6,24.14,59.99,,WH-C2,3026
29/10/2021,2008,Smartwatch Fitness Tracker,SKU-2008-6735,electronics,214,45,,43,91.70,$199.99,,WH-C2,3049
"October 29, 2021",2009,Noise Cancelling Earbuds,SKU-2009-2763,electronics,74,32,,10,72.43,$129.99,,WH-C1,3019
"October 29, 2021",2010,External SSD 1TB,SKU-2010-1970,Electronics,275,37,,20,$47.21,119.99,,wh-b1,3017
2021-10-29,2011,Running Shoes Men Size 10,SKU-2011-2637,Footwear,86,22,,40,38.92,89.99,,WH-A2,3040
10/29/2021,2012,Women's Yoga Pants,SKU-2012-5183,Clothing,214,16,,44,$18.21,49.99,,WH-B2,3026
"Oct 29, 2021",2013,Men's Casual Polo Shirt,SKU-2013-3568,Clothing,56,17,,14,13.94,34.99,,wh-b1,3017
10/29/2021,2014,Women's Winter Jacket,SKU-2014-3549,Clothing,262,19,,25,$47.58,$129.99,,wh-b1,3020
"Oct 29, 2021",2015,Kids Soccer Cleats,SKU-2015-4219,Footwear,237,22,,46,17.29,$44.99,,WH-A1,3043
29/10/2021,2016,Denim Jeans Slim Fit,SKU-2016-5459,Clothing,262,12,,45,34.85,64.99,,WH-C1,3006
29/10/2021,2017,Sports Backpack 30L,SKU-2017-5600,bags,31,30,,47,$20.28,54.99,,wh-a1,3009
2021-10-29,2018,Baseball Cap Adjustable,SKU-2018-2408,Clothing,455,35,,37,9.23,24.99,,WH-A2,3030
29/10/2021,2019,Gym Gloves Workout,SKU-2019-9734,Clothing,10,43,,12,7.40,$19.99,,WH-C2,3013
29-10-2021,2020,Athletic Crew Socks 6-Pack,SKU-2020-8195,Clothing,268,5,,31,$7.52,14.99,,WH-B2,3006
29-10-2021,2021,Stainless Steel Cookware Set 10pc,SKU-2021-9597,Kitchen,63,16,,50,135.30,249.99,,WH-A1,3020
2021/10/29,2022,Coffee Maker 12-Cup,SKU-2022-5885,Kitchen,32,42,,39,$37.88,79.99,,wh-b1,3005
29/10/2021,2023,Air Fryer 5.8 Quart,SKU-2023-1048,  Kitchen ,51,42,,30,42.83,99.99,,WH-C2,3035
10/29/2021,2024,Non-Stick Pan Set 3-Piece,SKU-2024-5329,  Kitchen ,474,20,,15,38.14,$69.99,,WH-A1,3029
2021/10/29,2025,Blender High Performance,SKU-2025-9530,Kitchen,421,6,,44,49.21,129.99,,wh-a1,3032
"Oct 29, 2021",2026,Cutting Board Set Bamboo,SKU-2026-1154,kitchen,108,42,,31,14.59,29.99,,wh-a1,3002
2021-10-29,2027,Instant Pot 8 Quart,SKU-2027-4461,Kitchen,477,15,,30,$51.28,129.99,,WH-B2,3004
2021/10/29,2028,Wine Glass Set 12-Piece,SKU-2028-2259,Kitchen,279,43,,24,$17.48,39.99,,WH-C1,
29/10/2021,2029,Knife Set 15-Piece,SKU-2029-3026,Kitchen,69,46,,25,81.61,149.99,,WH-A1,
"October 29, 2021",2030,Stand Mixer 5 Quart,SKU-2030-4078,Kitchen,308,49,,27,171.29,$349.99,,WH-A2,3011
"Oct 29, 2021",2031,Yoga Mat Non-Slip,SKU-2031-6532,SPORTS,293,31,,42,$17.14,$39.99,,WH-A2,3050
2021/10/29,2032,Resistance Bands Set 5-Pack,SKU-2032-9326,Sports,329,44,,32,12.53,24.99,,WH-B1,3030
29-10-2021,2033,Adjustable Dumbbells 50lb,SKU-2033-9605,Sports,359,20,,20,178.09,299.99,,WH-B2,
2021-10-29,2034,Camping Tent 4-Person,SKU-2034-5579,Sports,169,38,,49,$97.31,189.99,,WH-A2,3028
"October 29, 2021",2035,Hiking Boots Waterproof,SKU-2035-6241,Footwear,338,1,,44,49.28,139.99,,wh-b1,
10/29/2021,2036,Foam Roller 18-inch,SKU-2036-8868,Sports,232,24,,15,10.70,29.99,,WH-C1,3028
10/29/2021,2037,Jump Rope Speed,SKU-2037-3077,SPORTS,92,7,,37,8.33,$14.99,,wh-b1,3023
2021/10/29,2038,Water Bottle 32oz Insulated,SKU-2038-9318,Sports,381,28,,29,14.26,$34.99,,WH-C1,3018
2021/10/29,2039,Trekking Poles Adjustable,SKU-2039-1135,Sports,268,25,,18,33.92,59.99,,WH-C1,3038
29-10-2021,2040,Sleeping Bag -20F,SKU-2040-5501,Sports,118,39,,32,$34.30,$89.99,,WH-B1,3043
29-10-2021,2041,Vitamin C 1000mg 90 Tablets,SKU-2041-1431,health,17,30,,35,7.53,19.99,,wh-b1,3027
2021-10-29,2042,Protein Powder Whey 5lb,SKU-2042-7028,Health,117,22,,22,25.05,54.99,,WH-B1,
2021/10/29,2043,Moisturizing Face Cream SPF30,SKU-2043-8727,Beauty,24,41,,24,16.43,$29.99,,wh-a1,
"Oct 29, 2021",2044,Electric Toothbrush Rechargeable,SKU-2044-5710,health,74,15,,29,22.84,49.99,,WH-A2,3014
